,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
33,-7.59375,-42171.4,-0.0028125,-105.4285,-7.59375,-41916,-0.0028125,-104.79,-7.0875,-41559.1,-0.002625,-103.89775,-7.59375,-42064.6,-0.0028125,-105.1615,-7.59375,-41831.6,-0.0028125,-104.579,-7.59375,-44447.7,-0.0028125,-111.11925,201.359,197399,0.074577407,493.4975,189.192,226391,0.070071111,565.9775,194.491,248671,0.072033704,621.6775,234.896,270636,0.086998519,676.59,237.814,324741,0.088079259,811.8525,227.802,274243,0.084371111,685.6075
34,-6.58125,-36546.3,-0.0024375,-91.36575,-6.58125,-36326.9,-0.0024375,-90.81725,-6.075,-35621.7,-0.00225,-89.05425,-6.58125,-36439.6,-0.0024375,-91.099,-6.58125,-36242.5,-0.0024375,-90.60625,-6.58125,-38510.3,-0.0024375,-96.27575,203.389,195819,0.075329259,489.5475,193.758,222765,0.071762222,556.9125,198.099,245768,0.07337,614.42,239.173,261048,0.088582593,652.62,238.815,320391,0.08845,800.9775,230.207,272123,0.085261852,680.3075
35,-5.56875,-30921.4,-0.0020625,-77.3035,-5.56875,-30737.8,-0.0020625,-76.8445,-5.0625,-29684.5,-0.001875,-74.21125,-5.56875,-30814.7,-0.0020625,-77.03675,-5.56875,-30653.4,-0.0020625,-76.6335,-5.56875,-32573,-0.0020625,-81.4325,206.433,193545,0.076456667,483.8625,200.608,217786,0.074299259,544.465,203.512,241650,0.075374815,604.125,245.587,247779,0.090958148,619.4475,240.316,314776,0.089005926,786.94,233.816,269121,0.086598519,672.8025
36,-4.55625,-25296.6,-0.0016875,-63.2415,-4.55625,-25148.9,-0.0016875,-62.87225,-4.05,-23747.4,-0.0015,-59.3685,-4.55625,-25189.9,-0.0016875,-62.97475,-4.55625,-25064.5,-0.0016875,-62.66125,-4.55625,-26635.8,-0.0016875,-66.5895,211,190342,0.078148148,475.855,203.177,216079,0.075250741,540.1975,208.924,237822,0.077379259,594.555,247.191,244774,0.091552222,611.935,242.569,307246,0.08984037,768.115,239.228,264952,0.088602963,662.38
37,-3.54375,-19671.9,-0.0013125,-49.17975,-3.54375,-19560,-0.0013125,-48.9,-3.0375,-17810.3,-0.001125,-44.52575,-3.54375,-19565.1,-0.0013125,-48.91275,-3.54375,-19475.7,-0.0013125,-48.68925,-3.54375,-20698.7,-0.0013125,-51.74675,212.712,189220,0.078782222,473.05,207.03,213611,0.076677778,534.0275,214.336,234248,0.079383704,585.62,248.794,241816,0.092145926,604.54,245.948,296915,0.091091852,742.2875,241.257,263498,0.089354444,658.745
38,-2.53125,-14047.3,-0.0009375,-35.11825,-2.53125,-13971.3,-0.0009375,-34.92825,-2.025,-11873.4,-0.00075,-29.6835,-2.53125,-13940.5,-0.0009375,-34.85125,-2.53125,-13886.9,-0.0009375,-34.71725,-2.53125,-14761.7,-0.0009375,-36.90425,215.281,187586,0.079733704,468.965,212.809,210109,0.078818148,525.2725,222.454,229241,0.08239037,573.1025,251.2,237475,0.093037037,593.6875,251.016,283035,0.092968889,707.5875,244.302,261376,0.090482222,653.44
39,-1.51875,-8422.76,-0.0005625,-21.0569,-1.51875,-8382.69,-0.0005625,-20.956725,-1.0125,-5936.64,-0.000375,-14.8416,-1.51875,-8316.07,-0.0005625,-20.790175,-1.51875,-8298.32,-0.0005625,-20.7458,-1.51875,-8824.88,-0.0005625,-22.0622,219.134,185240,0.081160741,463.1,221.479,205271,0.082029259,513.1775,225.499,227500,0.083518148,568.75,254.808,231197,0.094373333,577.9925,252.917,278456,0.093672963,696.14,248.868,258326,0.092173333,645.815
40,-0.50625,-2798.36,-0.0001875,-6.9959,-0.50625,-2794.18,-0.0001875,-6.98545,1.69E-14,0.0364161,6.25E-18,9.10E-05,-0.50625,-2691.79,-0.0001875,-6.729475,-0.50625,-2709.88,-0.0001875,-6.7747,-0.50625,-2888.22,-0.0001875,-7.22055,224.914,181946,0.083301481,454.865,230.148,200881,0.08524,502.2025,230.065,224970,0.085209259,562.425,260.22,222289,0.096377778,555.7225,255.767,271754,0.094728519,679.385,255.718,254012,0.09471037,635.03
41,0.50625,2817.21,0.0001875,7.043025,0.50625,2787,0.0001875,6.9675,1.0125,5921.47,0.000375,14.803675,0.50625,2919.63,0.0001875,7.299075,0.50625,2866.91,0.0001875,7.167275,0.50625,3036.06,0.0001875,7.59015,227.081,180795,0.084104074,451.9875,238.817,196840,0.088450741,492.1,236.915,221347,0.087746296,553.3675,264.279,216129,0.097881111,540.3225,260.044,262185,0.096312593,655.4625,258.287,252489,0.095661852,631.2225
42,1.51875,8427.34,0.0005625,21.06835,1.51875,8361.36,0.0005625,20.9034,2.025,11843.4,0.00075,29.6085,1.51875,8524.7,0.0005625,21.31175,1.51875,8438.19,0.0005625,21.095475,1.51875,8955.26,0.0005625,22.38815,230.332,179117,0.085308148,447.7925,242.068,195420,0.089654815,488.55,247.19,216248,0.091551852,540.62,270.368,207352,0.100136296,518.38,261.647,258826,0.096906296,647.065,262.14,250258,0.097088889,625.645
